population_size,mutation_probability,tournament_k,max_generations,selection_type,avg_best_distance,std_best_distance,min_best_distance,max_best_distance,avg_execution_time,successful_runs,total_runs
100,0.1,2,100,tournament,419.16809061694994,0.0,419.16809061694994,419.16809061694994,0.2895933787027995,3,3
100,0.1,2,100,top10,419.16809061695,8.038873388460929e-14,419.16809061694994,419.1680906169501,0.2560090223948161,3,3
100,0.1,2,100,roulette,428.15111075587924,0.0,428.15111075587924,428.15111075587924,0.4866195519765218,3,3
100,0.1,2,200,tournament,420.40713122111,1.7522680267341204,419.16809061694994,422.88521242943017,0.5910971959431967,3,3
100,0.1,2,200,top10,419.16809061694994,0.0,419.16809061694994,419.16809061694994,0.5043849150339762,3,3
100,0.1,2,200,roulette,422.1624306632597,4.2346363038481565,419.16809061694994,428.15111075587924,0.9743783473968506,3,3
100,0.1,3,100,tournament,420.40713122111,1.7522680267341337,419.16809061694994,422.88521242943017,0.2966161568959554,3,3
100,0.1,3,100,top10,419.16809061694994,0.0,419.16809061694994,419.16809061694994,0.2551119327545166,3,3
100,0.1,3,100,roulette,428.15111075587924,0.0,428.15111075587924,428.15111075587924,0.5046276251475016,3,3
100,0.1,3,200,tournament,419.16809061695,8.038873388460929e-14,419.16809061694994,419.1680906169501,0.600595235824585,3,3
100,0.1,3,200,top10,419.16809061694994,0.0,419.16809061694994,419.16809061694994,0.5057302316029867,3,3
100,0.1,3,200,roulette,425.15677070956946,4.2346363038481565,419.16809061694994,428.15111075587924,0.9841279983520508,3,3
100,0.1,5,100,tournament,420.40713122111,1.7522680267341337,419.16809061694994,422.88521242943017,0.3100589116414388,3,3
100,0.1,5,100,top10,419.16809061694994,0.0,419.16809061694994,419.16809061694994,0.2731711069742839,3,3
100,0.1,5,100,roulette,422.1624306632597,4.2346363038481565,419.16809061694994,428.15111075587924,0.503873348236084,3,3
100,0.1,5,200,tournament,419.16809061695,8.038873388460929e-14,419.16809061694994,419.1680906169501,0.6511843999226888,3,3
100,0.1,5,200,top10,420.40713122111,1.7522680267341337,419.16809061694994,422.88521242943017,0.5378764470418295,3,3
100,0.1,5,200,roulette,422.1624306632597,4.2346363038481565,419.16809061694994,428.15111075587924,1.00893235206604,3,3
100,0.2,2,100,tournament,419.16809061694994,0.0,419.16809061694994,419.16809061694994,0.29778313636779785,3,3
100,0.2,2,100,top10,419.16809061694994,0.0,419.16809061694994,419.16809061694994,0.2617477575937907,3,3
100,0.2,2,100,roulette,425.15677070956946,4.2346363038481565,419.16809061694994,428.15111075587924,0.49854222933451336,3,3
